name,year,event,score
WEIR Johnny,2008,WR,221.84
TAKAHASHI Daisuke,2008,WR,220.11
LAMBIEL Stephane,2008,WR,217.88
VAN DER PERREN Kevin,2008,WR,216.02
VORONOV Sergei,2008,WR,209.93
KOZUKA Takahiko,2008,WR,205.15
CHAN Patrick,2008,WR,203.55
CARRIERE Stephen,2008,WR,201.69
ABBOTT Jeremy,2008,WR,197.26
DAVYDOV Sergei,2008,WR,196.79
SCHULTHEISS Adrian,2008,WR,194.39
BERNTSSON Kristoffer,2008,WR,193.72
VERNER Tomas,2008,WR,191.94
ZELENKA Karel,2008,WR,187.65
URBAS Gregor,2008,WR,187.48
PONSERO Yannick,2008,WR,182.06
NANRI Yasuharu,2008,WR,179.88
KOVALEVSKI Anton,2008,WR,178.13
MACYPURA Igor,2008,WR,169.93
OTHMAN Jamal,2008,WR,164.02
LI Chengjiang,2008,WR,155.75
RAKIMGALIEV Abzal,2008,WR,149.92
KOZUKA Takahiko,2009,US,226.18
WEIR Johnny,2009,US,225.2
LYSACEK Evan,2009,US,223.21
REYNOLDS Kevin,2009,US,204.89
SAWYER Shawn,2009,US,199.98
USPENSKI Alexander,2009,US,177.81
SCHULTHEISS Adrian,2009,US,177.26
RIPPON Adam,2009,US,174.82
MACYPURA Igor,2009,US,169.61
MARTINEZ Ian,2009,US,155.18
CHAN Patrick,2009,CA,215.45
BRADLEY Ryan,2009,CA,212.75
LYSACEK Evan,2009,CA,209.27
PONSERO Yannick,2009,CA,208.97
SAWYER Shawn,2009,CA,206.56
VORONOV Sergei,2009,CA,201.59
MROZ Brandon,2009,CA,192.23
NANRI Yasuharu,2009,CA,177.84
KOVALEVSKI Anton,2009,CA,170.61
TEN Jeremy,2009,CA,169.79
USPENSKI Vladimir,2009,CA,150.5
CHAN Patrick,2009,FR,238.09
KOZUKA Takahiko,2009,FR,230.78
PREAUBERT Alban,2009,FR,222.44
JOUBERT Brian,2009,FR,221.13
MROZ Brandon,2009,FR,189.46
LIEBERS Peter,2009,FR,176.88
BRADLEY Ryan,2009,FR,175.62
WU Jialiang,2009,FR,169.36
URBAS Gregor,2009,FR,167.87
MACYPURA Igor,2009,FR,165.2
LUTAI Andrei,2009,FR,160.1
DESLOT Yoann,2009,FR,156.68
JOUBERT Brian,2009,RU,230.78
VERNER Tomas,2009,RU,222.94
PREAUBERT Alban,2009,RU,219.08
ABBOTT Jeremy,2009,RU,217.48
RIPPON Adam,2009,RU,207.93
VAN DER PERREN Kevin,2009,RU,199.13
VORONOV Sergei,2009,RU,190.31
BERNTSSON Kristoffer,2009,RU,185.07
BORODULIN Artem,2009,RU,180.04
USPENSKI Alexander,2009,RU,174.24
LI Chengjiang,2009,RU,163.6
CHIPEUR Vaughn,2009,RU,161.49
ABBOTT Jeremy,2009,CN,233.44
CARRIERE Stephen,2009,CN,217.25
VERNER Tomas,2009,CN,205.48
BORODULIN Artem,2009,CN,191.38
CHIPEUR Vaughn,2009,CN,187.5
WU Jialiang,2009,CN,177.75
TEN Jeremy,2009,CN,175.12
BERNTSSON Kristoffer,2009,CN,173.93
GAO Song,2009,CN,166.93
NAKANIWA Kensuke,2009,CN,164.94
XU Ming,2009,CN,157.28
ODA Nobunari,2009,JP,236.18
WEIR Johnny,2009,JP,224.42
PONSERO Yannick,2009,JP,217.24
REYNOLDS Kevin,2009,JP,199.74
MURA Takahito,2009,JP,198.07
CARRIERE Stephen,2009,JP,192.3
SCHULTHEISS Adrian,2009,JP,177.75
NANRI Yasuharu,2009,JP,167.73
LUTAI Andrei,2009,JP,166.36
LIEBERS Peter,2009,JP,165.9
KOVALEVSKI Anton,2009,JP,157.94
OTHMAN Jamal,2009,JP,157.9
ABBOTT Jeremy,2009,FN,237.72
KOZUKA Takahiko,2009,FN,224.63
WEIR Johnny,2009,FN,215.5
VERNER Tomas,2009,FN,206.65
CHAN Patrick,2009,FN,205.16
